review_length,word_count,sentiment,rating,duplicate_flag,generic_flag,user_review_count,daily_review_count,label
41,6,0.8,5,1,0,16,9,1
41,6,0.8,5,1,0,17,9,1
29,6,-1.0,1,0,0,16,11,1
40,6,0.66,5,0,0,16,3,1
33,5,1.0,5,0,0,17,3,1
34,5,0.2,2,0,0,16,3,1
40,7,0.27499999999999997,4,0,0,16,3,1
11,2,0.7,5,1,0,17,3,1
11,2,0.7,5,1,0,16,3,1
35,5,0.78,5,0,0,16,3,1
39,5,-1.0,1,0,0,17,3,1
41,6,0.8,5,1,0,16,9,1
41,6,0.8,5,1,0,17,9,1
42,7,0.6000000000000001,4,0,0,16,11,1
28,6,-1.0,1,0,0,11,1,0
4,1,0.7,5,1,1,10,9,1
4,1,0.7,5,1,1,11,4,1
42,7,1.0,4,1,0,10,1,1
41,8,0.07499999999999998,4,0,0,5,1,0
15,2,1.0,5,1,0,16,9,1
15,2,1.0,5,1,0,17,9,1
15,2,1.0,5,1,0,16,11,1
15,2,1.0,5,1,0,16,9,1
15,2,1.0,5,1,0,17,9,1
15,2,1.0,5,1,0,16,11,1
39,5,0.7,5,1,0,16,2,1
39,5,0.7,5,1,0,17,4,1
45,8,0.39999999999999997,4,0,0,16,1,0
4,1,0.7,5,1,1,11,9,1
4,1,0.7,5,1,1,10,9,1
4,1,0.7,5,1,1,11,4,1
38,6,-0.5,2,0,0,10,1,0
28,5,0.5,4,0,0,5,1,0
37,6,0.2,4,1,0,16,2,1
37,6,0.2,4,1,0,17,1,1
9,1,1.0,5,1,1,16,11,1
9,1,1.0,5,1,1,11,9,1
9,1,1.0,5,1,1,10,9,1
21,3,-0.15,3,0,0,11,2,1
20,4,0.7,4,0,0,10,3,1
26,3,0.0,5,0,0,16,2,1
25,5,0.0,4,0,0,17,4,1
4,1,0.7,5,1,1,16,11,1
4,1,0.7,5,1,1,11,9,1
4,1,0.7,5,1,1,10,9,1
22,3,0.0,2,0,0,11,1,1
23,4,0.0,4,0,0,10,2,1
28,4,0.52,5,0,0,16,2,1
25,4,0.7,4,0,0,17,4,1
26,6,0.0,1,0,0,16,3,1
4,1,0.6,5,1,1,11,9,1
4,1,0.6,5,1,1,10,9,1
4,1,0.6,5,1,1,11,4,1
26,5,0.16666666666666666,4,0,0,10,3,1
15,2,1.0,5,1,0,16,9,1
15,2,1.0,5,1,0,17,9,1
15,2,1.0,5,1,0,16,11,1
4,1,0.7,5,1,1,11,9,1
4,1,0.7,5,1,1,10,9,1
40,8,0.43333333333333335,4,0,0,11,1,0
42,7,1.0,4,1,0,10,2,1
37,6,0.0,2,0,0,5,1,0
21,2,1.0,5,1,0,16,9,1
21,2,1.0,5,1,0,17,9,1
21,2,1.0,5,1,0,16,11,1
4,1,0.6,5,1,1,11,9,1
4,1,0.6,5,1,1,10,9,1
41,5,0.4,4,0,0,11,3,1
45,6,0.008333333333333331,3,0,0,10,3,1
31,5,0.0,1,0,0,5,1,0
16,2,0.52,5,1,0,16,9,1
16,2,0.52,5,1,0,17,9,1
16,2,0.52,5,1,0,16,11,1
4,1,0.7,5,1,1,11,9,1
26,4,0.17500000000000002,4,0,0,10,1,1
20,4,-0.2,2,0,0,11,2,1
32,5,0.7,4,0,0,10,3,1
19,2,1.0,5,1,0,16,9,1
19,2,1.0,5,1,0,17,9,1
19,2,1.0,5,1,0,16,11,1
4,1,0.6,5,1,1,11,9,1
4,1,0.6,5,1,1,10,9,1
34,6,0.0,4,0,0,11,3,1
27,4,0.0,2,0,0,10,3,1
25,3,1.0,5,1,0,16,9,1
25,3,1.0,5,1,0,17,9,1
25,3,1.0,5,1,0,16,11,1
4,1,0.7,5,1,1,11,9,1
32,5,0.02083333333333333,4,0,0,11,3,1
37,7,0.020833333333333343,3,0,0,10,3,1
34,6,-0.2,1,0,0,5,1,0
38,6,0.35,4,0,0,17,4,1
41,6,0.7,5,0,0,16,1,0
30,5,-0.33333333333333337,1,0,0,11,1,0
4,1,0.7,5,1,1,10,9,1
4,1,0.7,5,1,1,11,4,1
